ID,Project_ID,Q1,Q2,Q3,Q4,Q5,Q6,pic_url,lat,lon,description
1,3,1,This project is for reforestation,4,3,1,abc,https://files.worldwildlife.org/wwfcmsprod/images/Amur_Tiger_8.14.2012_Threats_Section_Image_XL_257585.jpg/hero_small/w5ie6wqh2_Amur_Tiger_8.14.2012_Threats_Section_Image_XL_257585.jpg,47.547308,8.580643,Illegal logging activities in reforested areas
2,2,3,This project helps to reduce GHG emissions,1,4,2,dfe,https://www.uvm.edu/content/shared/files/styles/600/public/shared/rubenstein-school-environment-and-natural-resources/clark_plot_aerial1149x647.jpg?t=rzuy70,47.553385,8.578362,"Low survival rates of planted seedlings (poor soil quality, lack of maintenance, inadequate watering)"
3,2,5,This project improves trees coverage,2,5,4,asd,https://www.purdue.edu/uns/images/2019/great-smoky.jpg,47.549325,8.551518,Invasive pests kill so many trees
4,1,4,This project grow trees,5,1,4,rwc,https://www.spc.int/sites/default/files/styles/featured_image/public/featuredimages/blog/2022-08/IMG_5009.JPG?itok=G4_lJZIE,47.543376,8.551096,Water resource management
5,3,5,Text,3,3,2,wqr,https://www.euractiv.com/wp-content/uploads/sites/2/2021/03/deforestation-2-800x517.jpg,47.350221,8.215341,Some descriptions
6,2,2,Text,5,2,5,sad,https://cdn.mos.cms.futurecdn.net/WVMczmo522VVf5XLsEavaW.jpg,47.343228,8.134014,Some descriptions
7,4,5,Text,4,5,3,cza,https://www.slate.com/content/dam/slate/articles/technology/copenhagen_consensus_2012/2012/05/120501_COPE_deforestation.jpg.CROP.rectangle3-large.jpg,47.029877,8.737861,Some descriptions
8,5,4,Text,5,4,5,asv,https://www.euractiv.com/wp-content/uploads/sites/2/2020/11/shutterstock_1408605164-1.jpg,46.844046,7.754153,Some descriptions
9,4,5,Text,3,3,3,sss,https://upload.wikimedia.org/wikipedia/commons/c/cd/Lahnberge_Wald.jpg,46.582415,6.985163,Some descriptions
10,1,3,Text,2,5,5,www,https://environmentaldefence.ca/wp-content/uploads/2020/07/clearcut_mountains.jpg,46.631463,6.159421,Some descriptions
